source_id,title,description,requirements,company_name,location,salary_range,is_dataset_job
82,Medical Assistant,"Provide clinical and administrative support in healthcare
Industry: Healthcare",Multitasking Communication Organization Attention to Detail Empathy,__DATASET__::Healthcare,Unknown,Low paying,True
83,Laboratory Technician,"Perform laboratory tests and analyze samples
Industry: Healthcare",Attention to Detail Safety Awareness Analytical Thinking Organization Technical Aptitude,__DATASET__::Healthcare,Unknown,Average paying,True
84,Pharmacist Technician,"Assist pharmacists with medication preparation and inventory
Industry: Healthcare",Attention to Detail Organization Communication Customer Service Mathematical Accuracy,__DATASET__::Healthcare,Unknown,Low paying,True
85,Optician,"Fit and dispense eyeglasses and contact lenses
Industry: Healthcare",Customer Service Attention to Detail Communication Manual Dexterity Problem Solving,__DATASET__::Healthcare,Unknown,Average paying,True
86,Respiratory Therapist,"Provide respiratory care to patients with breathing disorders
Industry: Healthcare",Patient Care Communication Assessment Skills Problem Solving Stress Management,__DATASET__::Healthcare,Unknown,Average paying,True
87,Dietitian,"Provide nutrition counseling and meal planning services
Industry: Healthcare",Communication Analytical Thinking Empathy Research Skills Health Awareness,__DATASET__::Healthcare,Unknown,Average paying,True
88,Environmental Scientist,"Study environmental problems and develop solutions
Industry: Environmental Services",Research Skills Analytical Thinking Problem Solving Communication Environmental Awareness,__DATASET__::Environmental Services,Unknown,High paying,True
89,Geologist,"Study earth materials and processes for various applications
Industry: Mining & Resources",Research Skills Analytical Thinking Problem Solving Physical Stamina Attention to Detail,__DATASET__::Mining & Resources,Unknown,High paying,True
90,Meteorologist,"Study weather patterns and provide weather forecasts
Industry: Science & Research",Analytical Thinking Pattern Recognition Communication Data Interpretation Mathematical Reasoning,__DATASET__::Science & Research,Unknown,High paying,True
91,Astronomer,"Study celestial objects and phenomena in space
Industry: Science & Research",Research Skills Mathematical Reasoning Pattern Recognition Analytical Thinking Patience,__DATASET__::Science & Research,Unknown,High paying,True
92,Biologist,"Study living organisms and biological processes
Industry: Science & Research",Research Skills Analytical Thinking Problem Solving Attention to Detail Scientific Writing,__DATASET__::Science & Research,Unknown,High paying,True
93,Chemist,"Conduct chemical research and analysis for various applications
Industry: Science & Research",Analytical Thinking Safety Awareness Problem Solving Attention to Detail Research Skills,__DATASET__::Science & Research,Unknown,High paying,True
94,Physicist,"Study matter energy and their interactions
Industry: Science & Research",Mathematical Reasoning Analytical Thinking Problem Solving Research Skills Abstract Thinking,__DATASET__::Science & Research,Unknown,High paying,True
95,Mathematician,"Solve mathematical problems and develop mathematical theories
Industry: Science & Research",Logical Reasoning Abstract Thinking Problem Solving Pattern Recognition Analytical Thinking,__DATASET__::Science & Research,Unknown,High paying,True
96,Statistician,"Analyze data and develop statistical models
Industry: Science & Research",Analytical Thinking Mathematical Reasoning Pattern Recognition Attention to Detail Research Skills,__DATASET__::Science & Research,Unknown,High paying,True
97,Economist,"Study economic trends and analyze economic data
Industry: Economics",Analytical Thinking Research Skills Critical Thinking Mathematical Reasoning Communication,__DATASET__::Economics,Unknown,High paying,True
98,Political Scientist,"Study political systems and analyze political behavior
Industry: Social Sciences",Research Skills Analytical Thinking Critical Thinking Communication Writing Skills,__DATASET__::Social Sciences,Unknown,High paying,True
99,Sociologist,"Study human society and social behavior
Industry: Social Sciences",Research Skills Analytical Thinking Communication Cultural Awareness Critical Thinking,__DATASET__::Social Sciences,Unknown,High paying,True
100,Anthropologist,"Study human culture and social organization
Industry: Social Sciences",Research Skills Cultural Awareness Communication Analytical Thinking Adaptability,__DATASET__::Social Sciences,Unknown,High paying,True
101,Historian,"Research and analyze historical events and trends
Industry: Education",Research Skills Analytical Thinking Writing Skills Critical Thinking Attention to Detail,__DATASET__::Education,Unknown,Average paying,True
102,Journalist,"Research and report news stories for various media
Industry: Media & Publishing",Research Skills Communication Writing Skills Curiosity Time Management,__DATASET__::Media & Publishing,Unknown,Average paying,True
103,Editor,"Review and edit written content for publication
Industry: Media & Publishing",Attention to Detail Communication Writing Skills Critical Thinking Organization,__DATASET__::Media & Publishing,Unknown,Average paying,True
104,Public Relations Specialist,"Manage public image and media relations for organizations
Industry: Marketing",Communication Strategic Thinking Relationship Building Crisis Management Creativity,__DATASET__::Marketing,Unknown,Average paying,True
105,Advertising Executive,"Develop and implement advertising campaigns
Industry: Advertising",Creative Thinking Strategic Planning Communication Leadership Project Management,__DATASET__::Advertising,Unknown,High paying,True
106,Art Director,"Oversee visual aspects of advertising and media projects
Industry: Advertising",Creative Leadership Visual Communication Project Management Team Management,__DATASET__::Advertising,Unknown,High paying,True
107,Copywriter,"Write persuasive content for advertising and marketing
Industry: Advertising",Creative Writing Communication Persuasion Brand Awareness Research Skills,__DATASET__::Advertising,Unknown,Average paying,True
108,Film Director,"Direct actors and crew in film and video production
Industry: Entertainment",Leadership Creative Vision Communication Project Management Decision Making,__DATASET__::Entertainment,Unknown,High paying,True
109,Screenwriter,"Write scripts for films television and other media
Industry: Entertainment",Creative Writing Storytelling Research Skills Character Development Communication,__DATASET__::Entertainment,Unknown,Average paying,True
110,Actor,"Perform roles in theatrical film and television productions
Industry: Entertainment",Creativity Memorization Emotional Expression Communication Adaptability,__DATASET__::Entertainment,Unknown,Average paying,True
111,Musician,"Perform music for live audiences and recordings
Industry: Entertainment",Creativity Discipline Performance Skills Communication Collaboration,__DATASET__::Entertainment,Unknown,Average paying,True
112,Sound Engineer,"Operate audio equipment for recordings and live events
Industry: Entertainment",Technical Aptitude Attention to Detail Problem Solving Communication Creativity,__DATASET__::Entertainment,Unknown,Average paying,True
113,Video Game Designer,"Design gameplay mechanics and overall game experience
Industry: Gaming",Creative Problem Solving Systems Thinking User Experience Design Innovation Logical Reasoning,__DATASET__::Gaming,Unknown,High paying,True
114,Animation Artist,"Create animated sequences for films games and media
Industry: Entertainment",Creativity Visual Storytelling Attention to Detail Patience Technical Aptitude,__DATASET__::Entertainment,Unknown,Average paying,True
115,Comic Book Artist,"Create artwork and illustrations for comic books
Industry: Entertainment",Creativity Visual Storytelling Character Development Attention to Detail Time Management,__DATASET__::Entertainment,Unknown,Average paying,True
116,Fashion Model,"Model clothing and accessories for fashion shows and photography
Industry: Fashion",Physical Fitness Professionalism Adaptability Communication Self-Discipline,__DATASET__::Fashion,Unknown,Average paying,True
117,Dance Instructor,"Teach dance techniques and choreography to students
Industry: Arts & Culture",Physical Coordination Communication Teaching Skills Creativity Patience,__DATASET__::Arts & Culture,Unknown,Low paying,True
118,Yoga Instructor,"Lead yoga classes and provide instruction in yoga practices
Industry: Fitness & Recreation",Physical Fitness Communication Teaching Skills Mindfulness Empathy,__DATASET__::Fitness & Recreation,Unknown,Low paying,True
119,Sports Coach,"Train athletes and develop game strategies
Industry: Sports",Leadership Communication Motivation Strategic Thinking Physical Fitness,__DATASET__::Sports,Unknown,Average paying,True
120,Athletic Trainer,"Provide injury prevention and treatment for athletes
Industry: Sports",Physical Assessment Communication Problem Solving Safety Awareness Empathy,__DATASET__::Sports,Unknown,Average paying,True
121,Recreation Coordinator,"Plan and organize recreational activities and programs
Industry: Recreation",Organization Communication Leadership Time Management Creativity,__DATASET__::Recreation,Unknown,Average paying,True
122,Camp Counselor,"Supervise and lead activities for children at camps
Industry: Recreation",Communication Patience Leadership Safety Awareness Creativity,__DATASET__::Recreation,Unknown,Low paying,True
123,Cruise Director,"Organize entertainment and activities for cruise passengers
Industry: Hospitality",Communication Leadership Entertainment Skills Organization Customer Service,__DATASET__::Hospitality,Unknown,Average paying,True
124,Travel Agent,"Plan and book travel arrangements for clients
Industry: Travel & Tourism",Customer Service Organization Communication Research Skills Problem Solving,__DATASET__::Travel & Tourism,Unknown,Average paying,True
125,Hotel Manager,"Oversee hotel operations and ensure guest satisfaction
Industry: Hospitality",Leadership Customer Service Problem Solving Financial Management Communication,__DATASET__::Hospitality,Unknown,Average paying,True
126,Restaurant Manager,"Manage restaurant operations and staff
Industry: Food Service",Leadership Communication Customer Service Problem Solving Time Management,__DATASET__::Food Service,Unknown,Average paying,True
127,Catering Manager,"Plan and coordinate catering events and services
Industry: Food Service",Organization Leadership Communication Time Management Customer Service,__DATASET__::Food Service,Unknown,Average paying,True
128,Wedding Planner,"Plan and coordinate wedding ceremonies and receptions
Industry: Event Planning",Organization Communication Attention to Detail Time Management Customer Service,__DATASET__::Event Planning,Unknown,Average paying,True
129,Florist,"Design and arrange flowers for various occasions
Industry: Retail",Creativity Color Theory Customer Service Manual Dexterity Attention to Detail,__DATASET__::Retail,Unknown,Low paying,True
130,Baker,"Bake bread pastries and other baked goods
Industry: Food Service",Attention to Detail Time Management Creativity Safety Awareness Quality Control,__DATASET__::Food Service,Unknown,Low paying,True
131,Butcher,"Cut and prepare meat products for sale
Industry: Food Service",Manual Dexterity Safety Awareness Customer Service Attention to Detail Product Knowledge,__DATASET__::Food Service,Unknown,Low paying,True
132,Farmer,"Grow crops and raise livestock for food production
Industry: Agriculture",Physical Stamina Problem Solving Environmental Awareness Time Management Planning,__DATASET__::Agriculture,Unknown,Low paying,True
133,Fisherman,"Catch fish and other seafood for commercial purposes
Industry: Agriculture",Physical Stamina Safety Awareness Navigation Problem Solving Environmental Awareness,__DATASET__::Agriculture,Unknown,Low paying,True
134,Logger,"Harvest timber from forests for commercial use
Industry: Forestry",Physical Stamina Safety Awareness Environmental Awareness Equipment Operation Teamwork,__DATASET__::Forestry,Unknown,Average paying,True
135,Miner,"Extract minerals and resources from underground mines
Industry: Mining & Resources",Physical Stamina Safety Awareness Attention to Detail Teamwork Problem Solving,__DATASET__::Mining & Resources,Unknown,Average paying,True
136,Oil Rig Worker,"Operate equipment on offshore oil drilling platforms
Industry: Oil & Gas",Physical Stamina Safety Awareness Teamwork Problem Solving Stress Management,__DATASET__::Oil & Gas,Unknown,High paying,True
137,Solar Panel Installer,"Install and maintain solar energy systems
Industry: Renewable Energy",Safety Awareness Manual Dexterity Problem Solving Physical Fitness Environmental Awareness,__DATASET__::Renewable Energy,Unknown,Average paying,True
138,Wind Turbine Technician,"Maintain and repair wind energy equipment
Industry: Renewable Energy",Safety Awareness Physical Fitness Problem Solving Manual Dexterity Environmental Awareness,__DATASET__::Renewable Energy,Unknown,Average paying,True
139,HVAC Technician,"Install and repair heating ventilation and air conditioning systems
Industry: Construction",Problem Solving Manual Dexterity Safety Awareness Attention to Detail Customer Service,__DATASET__::Construction,Unknown,Average paying,True
140,Locksmith,"Install and repair locks and security systems
Industry: Security",Problem Solving Manual Dexterity Attention to Detail Customer Service Security Awareness,__DATASET__::Security,Unknown,Average paying,True
141,Watchmaker,"Repair and maintain timepieces and clocks
Industry: Specialized Services",Manual Dexterity Attention to Detail Patience Problem Solving Precision,__DATASET__::Specialized Services,Unknown,Average paying,True
142,Jeweler,"Design and repair jewelry and precious items
Industry: Retail",Manual Dexterity Creativity Attention to Detail Customer Service Visual Skills,__DATASET__::Retail,Unknown,Average paying,True
143,Tailor,"Alter and create custom clothing and garments
Industry: Personal Services",Manual Dexterity Attention to Detail Customer Service Problem Solving Creativity,__DATASET__::Personal Services,Unknown,Low paying,True
144,Cobbler,"Repair and restore shoes and leather goods
Industry: Personal Services",Manual Dexterity Problem Solving Attention to Detail Customer Service Craftsmanship,__DATASET__::Personal Services,Unknown,Low paying,True
145,Upholsterer,"Repair and reupholster furniture and cushions
Industry: Personal Services",Manual Dexterity Problem Solving Attention to Detail Customer Service Creativity,__DATASET__::Personal Services,Unknown,Low paying,True
146,Glass Blower,"Create decorative and functional glass objects
Industry: Arts & Crafts",Manual Dexterity Creativity Physical Stamina Safety Awareness Artistic Skills,__DATASET__::Arts & Crafts,Unknown,Average paying,True
147,Potter,"Create ceramic pottery and decorative items
Industry: Arts & Crafts",Creativity Manual Dexterity Attention to Detail Patience Artistic Skills,__DATASET__::Arts & Crafts,Unknown,Low paying,True
148,Blacksmith,"Shape and forge metal objects using traditional techniques
Industry: Arts & Crafts",Physical Stamina Manual Dexterity Safety Awareness Problem Solving Craftsmanship,__DATASET__::Arts & Crafts,Unknown,Average paying,True
149,Welder,"Join metal parts using various welding techniques
Industry: Manufacturing",Manual Dexterity Safety Awareness Attention to Detail Problem Solving Physical Stamina,__DATASET__::Manufacturing,Unknown,Average paying,True
150,Machinist,"Operate machine tools to create precision metal parts
Industry: Manufacturing",Attention to Detail Manual Dexterity Problem Solving Mathematical Reasoning Safety Awareness,__DATASET__::Manufacturing,Unknown,Average paying,True
151,Tool and Die Maker,"Create tools dies and fixtures for manufacturing
Industry: Manufacturing",Precision Manual Dexterity Problem Solving Mathematical Reasoning Attention to Detail,__DATASET__::Manufacturing,Unknown,High paying,True
152,Quality Control Inspector,"Inspect products to ensure they meet quality standards
Industry: Manufacturing",Attention to Detail Analytical Thinking Problem Solving Communication Organization,__DATASET__::Manufacturing,Unknown,Average paying,True
153,Assembly Line Worker,"Assemble products on manufacturing production lines
Industry: Manufacturing",Manual Dexterity Attention to Detail Repetitive Task Management Teamwork Quality Focus,__DATASET__::Manufacturing,Unknown,Low paying,True
154,Forklift Operator,"Operate forklifts to move materials in warehouses
Industry: Warehousing",Safety Awareness Spatial Awareness Attention to Detail Physical Coordination Responsibility,__DATASET__::Warehousing,Unknown,Low paying,True
155,Warehouse Manager,"Oversee warehouse operations and inventory management
Industry: Warehousing",Leadership Organization Problem Solving Safety Awareness Communication,__DATASET__::Warehousing,Unknown,Average paying,True
