Group_Industry,Combined_Vocab,Word_Count
cultural heritage,"analysis, ancient, archaeologist, archaeology, archivist, artifacts, attention, book, civilizations, communication, craftsmanship, create, creativity, cultural, curator, data, detail, dexterity, digital, diving, documents, educational, experiences, heritage, historical, immersive, information, knowledge, management, manual, manuscripts, marine, materials, metadata, methods, museum, organize, patience, preserve, problem, rare, reality, records, repair, research, restorer, science, sites, skills, solving, standards, study, technical, technology, texts, underwater, use, virtual",58
economics,"analytical, analyze, communication, critical, data, ecological, economic, economist, environmental, health, mathematical, problem, reasoning, relationship, research, science, skills, solving, study, systems, thinking, trends",22
education,"3d, adaptability, administrator, analysis, analyst, analytics, analyze, areas, art, aspects, assessment, assist, assurance, attention, awareness, bootcamp, bugs, build, care, check, child, childcare, children, classes, classroom, coding, communication, computer, connection, content, control, course, create, creation, creativity, critical, cultural, curator, curriculum, customer, cybersecurity, data, daycare, design, detail, development, digital, dynamics, edtech, education, elementary, empathy, engaging, ensure, environmental, events, expeditions, experience, expertise, facilitator, find, foraging, foster, grades, group, guide, help, high, historian, historical, identification, immersive, implement, individuals, information, innovation, instructional, instructor, integrator, intensive, interactive, journeys, knowledge, language, lead, learning, lesson, librarian, library, linguistics, literacy, maintain, management, matter, meet, mentor, modeling, mushroom, mycology, navigate, needs, new, nurture, online, operations, organization, patience, patrons, planning, platforms, populations, privacy, problem, producer, production, proficiency, programs, protocols, quality, quizzes, reality, remote, reporting, research, resources, reviewer, safety, school, science, score, security, select, sensitivity, service, sessions, settings, skills, solving, specialist, specialized, specific, standards, students, subject, supervise, support, sustainability, systems, teacher, teaching, technical, techniques, technology, tester, tests, theory, thinking, tools, topics, training, trends, troubleshooting, tutor, underserved, users, ux, via, video, virtual, worker, workshop, writing, young",173
energy,"analysis, analyst, assess, attention, auditor, awareness, based, cell, clean, communication, data, design, detail, develop, developer, dexterity, diagnostics, differences, efficiency, electrical, energy, engineering, environmental, equipment, evaluate, farm, finance, financial, fitness, fuel, fusion, harness, home, hydrogen, implement, improvements, innovation, install, interpretation, knowledge, leadership, maintain, maintenance, management, manual, marine, market, modeling, nuclear, ocean, offshore, operations, optimize, oversee, panel, physical, physics, plan, power, problem, project, protocols, recommend, renewable, repair, research, residential, safety, science, skills, solar, solving, specialist, systems, team, technical, technician, temperature, thermal, thermodynamics, troubleshooting, turbine, wind",83
engineering,"attention, awareness, biology, biomechanical, biomedical, cad, change, chemistry, civil, construction, create, critical, design, detail, develop, devices, electrical, engineer, equipment, found, infrastructure, innovation, knowledge, level, management, materials, mathematical, matter, mechanical, medical, metamaterial, molecular, nanotechnology, nature, physics, principles, problem, products, programmable, programming, project, properties, prosthetics, reasoning, safety, science, shape, solving, spatial, supervise, systems, thinking, troubleshoot",53
entertainment,"acting, activity, actor, adaptability, agility, animation, aptitude, artist, artwork, assist, attendant, attention, audiences, audio, based, behavior, book, character, cleaning, clown, collaboration, collect, comic, commercials, communication, control, create, creativity, crew, crowd, customer, decision, design, detail, development, direct, director, discipline, emotional, engineer, entertainment, equipment, escape, events, experience, expression, facilities, film, game, guide, illustrations, innovation, leadership, live, maintain, making, management, media, memorization, movie, music, musician, operate, patience, patrons, perform, physical, problem, production, project, protect, provide, puzzle, recordings, research, riders, rodeo, roles, room, safety, screenwriter, scripts, sequences, service, skills, solving, sound, standing, storytelling, taker, talent, technical, television, theater, theatrical, ticket, time, usher, venues, video, vision, visual, voice, write",104
science,"abstract, activities, activity, adaptability, advanced, affects, ai, algorithms, analysis, analyst, analytical, analyze, anatomy, ancient, anthropologist, anthropology, applications, archaeological, artificial, assistant, astronomer, astronomy, atmospheric, attention, awareness, bacteria, behavior, beneficial, bioinformatics, biological, biologist, brain, celestial, certification, change, chemical, chemist, chemistry, clean, climate, collection, communication, computer, conduct, cosmic, create, critical, crystal, culture, data, deep, detail, detector, develop, devices, dexterity, digital, display, disturbances, diving, dust, earth, ecosystems, effects, electronics, energy, engineering, environment, environmental, equipment, excavation, exoplanet, experiments, forecaster, forecasts, forensic, fossil, friendly, geological, grant, gravitational, gravity, green, health, human, hunter, innovation, intelligence, interactions, interface, interpretation, investigations, knowledge, laboratory, lead, leadership, learning, legal, life, literature, living, logical, machine, manual, marine, materials, mathematical, mathematician, matter, meteorologist, meteorology, methodology, methods, microbiology, microbiome, miniaturization, modeling, monitor, neural, neuroengineering, neuroscience, objects, ocean, operator, organisms, organization, outside, paleontologist, patience, pattern, patterns, phenomena, physicist, physics, planets, political, populations, predict, prepare, problem, procedures, processes, programming, projects, protocols, provide, psychology, publication, python, quantum, reasoning, recognition, remains, repeating, research, review, safety, science, scientific, scientist, search, senior, settings, skills, social, society, sociologist, solar, solving, space, specialist, statistical, statistician, study, support, system, systems, team, technical, technician, techniques, technology, telepathic, tests, theories, thinking, time, use, various, wave, weather, wellness, wireless, writing",194
event planning,"attention, budget, ceremonies, communication, conferences, coordinate, corporate, customer, decorations, detail, digital, equipment, event, execute, facilitate, following, gatherings, instructions, labor, management, moderator, negotiation, online, organize, oversee, physical, planner, planning, problem, producer, project, receptions, remote, sales, secure, service, set, setup, skills, solving, special, sponsors, sponsorship, systems, teamwork, technology, ticketing, time, vendor, virtual, webinars, wedding, worker",53
executive leadership,"acumen, analytics, aspects, awareness, brand, budgeting, building, business, change, chief, communication, comprehensive, corporate, customer, daily, data, decision, define, development, digital, director, divisions, drive, employee, engineering, enterprise, executive, finance, financial, general, go, governance, growth, human, improvement, information, initiatives, innovation, investor, lead, leadership, major, making, management, market, officer, operations, optimization, organization, organizational, overall, oversee, partnerships, performance, planning, president, problem, process, product, relations, resources, responsibility, revenue, risk, sales, senior, solving, strategic, strategy, team, technical, technology, thinking, transformation, unit, vice, vision, visionary, vp",79
facilities management,"activity, assist, attendant, attention, awareness, budgeting, building, cash, cleanliness, communication, compliance, customer, detail, ethic, facilities, handling, janitor, maintain, maintenance, management, operations, parking, physical, planning, safety, sanitation, service, stamina, time, vendor, work",31
fashion,"accessories, adaptability, advise, attention, authenticate, awareness, choices, clothing, color, communication, conscious, consultant, create, creativity, curator, design, detail, discipline, environmental, fashion, fitness, garments, historical, history, impact, innovation, knowledge, markets, minimal, model, photography, physical, preserve, problem, professionalism, research, self, shows, skills, solving, sustainable, textile, theory, trend, various, vintage, visual",47
finance,"accounting, accuracy, activities, acumen, advice, advisor, allocation, analysis, analyst, analytical, analyze, appraiser, assessment, asset, assist, attention, auditor, audits, banking, billing, blockchain, bookkeeping, budget, building, businesses, capital, client, collection, communication, complex, compliance, conduct, controls, corporate, cost, credit, creditworthiness, critical, cryptocurrency, currency, customer, cybersecurity, data, deal, decisions, detail, development, digital, diligence, director, due, ensure, ethical, evaluate, examine, excel, external, file, finance, financial, forecasting, fraud, fund, hedge, independent, individuals, internal, interpretation, investment, junior, keeping, knowledge, law, lead, leadership, legal, management, markets, mathematical, meet, modeling, negotiation, officer, online, operations, organizational, organizations, oversee, partnerships, payment, planner, planning, portfolio, powerpoint, prepare, problem, protect, provide, python, quantitative, reasoning, receivable, recommendations, records, regulatory, relations, relationships, reporting, research, returns, risk, security, senior, service, skills, software, solving, specialist, standards, statement, statistics, strategic, strategy, structuring, support, systems, tasks, tax, team, technology, thinking, trading, transactions, trends, trust, valuation, value, writing",138
fishing,"assessment, awareness, commercial, equipment, fish, fisherman, harvest, maritime, markets, operation, physical, safety, seafood, skills, stamina, weather",16
fitness recreation,"adaptability, awareness, classes, clients, communication, create, design, digital, empathy, environments, exercise, fitness, goal, guidance, immersive, innovation, instruction, instructor, lead, mindfulness, motivation, online, personal, physical, plans, practices, program, provide, reality, safety, setting, skills, teaching, technology, trainer, training, virtual, wellness, yoga",39
food,"aging, agriculture, alcoholic, analysis, area, artificial, artisanal, arts, assessment, assist, attention, awareness, bake, baker, bartender, based, batch, beans, beverages, biology, blender, bread, brewer, busser, butcher, cafeteria, cash, catering, cellular, cheese, chef, chemist, chemistry, chocolates, chocolatier, clean, cleanliness, coffee, combinations, commercial, communication, concession, confections, control, cook, coordinate, craft, cream, create, creativity, culinary, cultural, customer, cut, dairy, desserts, detail, develop, dexterity, dining, dishes, dishwasher, entertainment, environmental, establishments, events, experiences, fast, fermentation, flavor, following, food, forager, frozen, gastronomy, goods, grown, handling, harvest, honored, ice, identify, ingredients, innovation, instructions, inventory, kimchi, kitchen, knowledge, kombucha, lab, leadership, like, maintain, maker, management, manual, meals, meat, memory, methods, microbiology, molecular, monitoring, multitasking, mushroom, mycology, natural, new, non, nutrition, operations, organization, pairing, pastries, physical, pickle, plan, plant, prep, prepare, presentation, preserve, probiotic, problem, process, produce, product, products, profiles, protocols, quality, regulations, research, restaurant, risk, roaster, safety, sale, sanitation, sauerkraut, science, scientist, sell, sensory, serve, service, settings, skills, small, solving, specialist, specialty, speed, staff, stamina, stand, stress, support, tea, teamwork, techniques, temperature, time, traditional, unique, use, using, vegan, vegetarian, venues, waiter, wild, worker",174
forestry,"awareness, commercial, environmental, equipment, forests, harvest, logger, operation, physical, safety, stamina, teamwork, timber, use",14
gaming,"analysis, blackjack, calculation, cards, casino, coach, communication, create, creative, customer, deal, dealer, design, dexterity, esports, experience, game, gameplay, hand, immersive, innovation, leadership, logical, manage, mathematics, mechanics, motivation, overall, performance, players, problem, professional, programming, quick, reality, reasoning, rules, service, solving, strategy, systems, table, team, thinking, train, user, video, virtual, worlds",49
government,"advise, agencies, analysis, analyst, applications, assessment, attendant, attention, awareness, biology, citations, climate, communication, critical, customer, data, detail, educate, enforcement, ensure, environmental, ethical, examiner, facilities, fitness, food, genetically, government, health, inspector, interpretation, issue, keeping, knowledge, leadership, legal, meet, meter, modified, monitor, natural, organism, oversee, parking, patent, physical, policy, problem, protect, ranger, reasoning, record, regulations, regulatory, related, report, research, resources, restaurants, review, risk, safety, science, service, skills, solving, standards, technical, thinking, visitors, walking, writing",72
healthcare,"accuracy, active, address, administrative, advice, advise, affairs, alzheimer, analysis, analyst, analytical, analyze, anatomical, anatomy, animal, applications, aptitude, art, artistic, assessment, assist, attention, awareness, bank, behavioral, billing, bioethicist, bioharmonic, biology, biomedical, biostatistician, blood, brain, breathing, cad, cardiologist, cardiovascular, care, chemistry, cleaning, clients, clinical, coach, coding, cognitive, collection, communication, compassion, complex, compliance, conditions, confidentiality, contact, continuous, control, coordinator, cord, counseling, counselor, create, creativity, crisis, critical, customer, daily, data, decision, dementia, dental, dentists, design, detail, develop, device, dexterity, diagnose, diagnosis, diagnostic, dietary, dietitian, digital, direct, disorders, dispense, document, donation, drawings, drugs, education, emergency, emotional, empathy, encounters, engineer, equine, equipment, ethical, exercise, expertise, eyeglasses, facilitate, fit, frequencies, function, genetic, graphics, groups, guidance, guide, health, healthcare, heart, help, hereditary, home, horses, hygiene, hygienist, illustrator, imaging, individuals, information, injuries, innovation, interventions, invasive, inventory, issues, judgment, knowledge, laboratory, lead, learning, lenses, listening, living, making, management, manual, massage, mathematical, meal, media, medical, medicine, memory, mental, methods, minimally, modeling, moderate, monitor, motivation, multitasking, music, needs, nervous, neurological, neuropsychologist, neuroscience, neurosurgeon, new, nurse, nutrition, occupational, office, online, operations, optician, organization, overnight, oversee, owners, paramedic, patience, patient, patterns, payments, peer, perform, pet, pharmaceutical, pharmacist, pharmacology, philosophy, phobias, physical, planning, platform, precision, preparation, prescription, preventive, privacy, problem, procedures, process, procurement, programming, provide, psychologist, psychology, quality, quick, radiologic, radiologist, reality, reasoning, records, recover, recovery, registered, regulations, regulatory, rehabilitation, related, remote, reporting, research, respiratory, safety, samples, scientific, scientist, scribe, services, settings, skills, sleep, social, solving, specialist, specialized, speech, stamina, statistics, storage, stress, study, support, surgeries, surgical, system, technical, technician, techniques, technologist, technology, terminology, testing, therapeutic, therapist, therapy, thinking, time, tools, tracking, training, transplant, transport, treat, treatment, trial, typing, umbilical, use, veterinarian, via, virtual, vr, wellness, writing",272
hospitality,"activity, analysis, attendant, attention, beverage, clean, communication, conception, coordinate, cruise, customer, detail, director, driving, ensure, entertainment, evaluate, event, execution, facilities, financial, guest, hospitality, hotel, housekeeper, knowledge, leadership, maintain, management, operations, organization, oversee, pairing, park, passengers, physical, plan, planner, problem, recommend, retrieve, rooms, satisfaction, sensory, service, skills, solving, sommelier, stamina, taste, time, valet, vehicles, wine",54
human resources,"accuracy, acquisition, activities, acumen, administration, adult, analysis, analyst, analytics, analyze, app, assessment, ats, attention, auditing, auditor, benefits, building, business, candidates, clerk, communication, company, compensation, compliance, concerns, confidentiality, conflict, content, coordinator, create, creation, creator, culture, curriculum, customer, data, deliver, design, detail, develop, digital, discretion, distributed, diversity, documentation, dynamics, empathy, employee, employment, engagement, enrollment, ensure, environments, excel, experience, facilitator, feedback, follow, guide, handle, health, hire, hr, human, inclusion, initiatives, insurance, interpersonal, interpret, interviewing, issues, laws, lead, leadership, learning, lms, maintain, management, market, materials, mathematical, morale, networking, new, onboarding, online, operations, optimize, organization, organizational, orientation, oversee, partner, payroll, perks, persuasion, policies, positions, presentation, problem, process, programs, promote, provide, psychology, qualified, questionnaires, reasoning, recognition, records, recruit, relations, relationship, remote, reporting, research, resolution, resources, results, reward, roles, scheduling, service, sessions, skills, software, solving, source, specialist, staff, statistical, strategic, strategy, strengthen, structures, study, support, survey, systems, talent, teams, technology, thinking, time, tools, track, trainer, training, units, usage, various, virtual, wellness, work, workforce, workplace, workshops",158
insurance,"advisor, agent, assessment, building, communication, coverage, customer, digital, independent, insurance, knowledge, location, nomad, persuasion, policies, problem, provide, regulations, risk, sell, service, solutions, solving, travel, trust, workers",26
international trade,"attention, awareness, broker, building, clearance, communication, cultural, customs, detail, documentation, export, facilitate, import, international, knowledge, manage, organization, problem, regulatory, relationship, shipments, shipping, solving, specialist, trade",25
jewelry,"attention, certification, detail, examine, gemologist, gemstone, grade, jewelry, knowledge, microscopy, precious, standards, stones",13
landscaping,"aesthetic, appeal, attention, awareness, basic, beautify, communication, coordinate, create, creativity, crew, design, detail, edible, environmental, equipment, facilities, food, gardens, grounds, groundskeeper, horticulture, knowledge, labor, landscaping, leader, leadership, maintain, maintenance, operation, outdoor, perform, physical, planning, plant, problem, produce, projects, safety, solving, spaces, stamina, supervise, sustainability, tasks, teams, teamwork, tolerance, use, weather, worker",51
law enforcement,"analysis, analytical, analyze, attention, cases, collect, communication, computer, crime, criminal, data, detail, develop, digital, ethical, evidence, forensics, investigator, justice, legal, patterns, planning, prevention, problem, procedures, reasoning, recover, research, scene, skills, solving, specialist, strategic, strategies, technical, thinking",36
logistics,"activities, analysis, analyst, analytical, attention, based, chain, clerk, communication, compliance, coordinate, customer, data, delivery, detail, digital, distribution, drone, erp, forecasting, goods, improvement, incoming, inventory, levels, logistics, management, monitor, navigation, networks, online, operations, optimize, organization, physical, piloting, prepare, problem, process, receiving, reporting, safety, service, shipments, shipping, solving, specialist, stamina, stock, supply, systems, technology, thinking, time, track, transportation",56
manufacturing,"3d, analysis, analytical, applications, artisanal, assemble, assurance, atom, attention, awareness, build, cad, candle, care, chemistry, communication, compliance, control, cosmetics, craftsmanship, create, creativity, customer, decorative, design, detail, dexterity, die, efficiency, engineer, ensure, fixtures, focus, functional, improvement, innovation, inspect, inspector, join, lead, leadership, lean, line, machine, machinist, maintain, maker, management, manual, manufacturing, material, mathematical, meet, metal, methods, molecular, nanotechnology, natural, operate, optimize, organization, parts, personal, physical, precision, printers, printing, problem, process, products, programs, protocols, quality, reasoning, repetitive, safety, science, senior, service, skills, soap, solving, stamina, standards, statistical, task, teamwork, technical, technician, techniques, thinking, tools, traditional, troubleshooting, using, various, welder, welding, worker",99
mapping surveying,"analysis, attention, cartographer, create, data, detail, drawing, geographic, information, maps, spatial, survey, systems, technical, update, using",16
maritime,"assessment, awareness, captain, command, communication, decision, deep, diver, diving, emergency, equipment, fitness, isolation, keeper, leadership, lighthouse, maintain, maintenance, making, marine, maritime, monitoring, navigate, operations, physical, problem, recover, response, risk, safety, salvage, sea, ship, skills, solving, sunken, technical, tolerance, underwater, vessels, weather",41
marketing,"across, activities, ad, administrative, advertising, agreements, ai, alliances, analysis, analyst, analytics, analyze, anywhere, assistant, attention, automation, awareness, brand, build, business, buyer, campaigns, channels, coaching, communication, compelling, competitive, competitors, compliance, comprehensive, conduct, content, continuous, contract, coordinator, create, creation, creative, creator, crisis, crm, curriculum, customer, data, design, detail, develop, digital, direct, documentation, drive, editing, editor, email, engagement, engine, enhance, ensure, event, execute, experience, feedback, go, growth, identify, identity, image, implement, improve, increase, individuals, initiatives, innovation, insights, interpretation, junior, knowledge, lead, leadership, learning, leverage, licensing, listening, loyalty, management, marketing, materials, media, meets, moderate, monitor, multiple, narratives, negotiation, officer, online, operations, opportunities, optimize, organization, oversee, partnerships, performance, placements, plan, planner, platforms, positioning, posts, powered, pr, presence, presentation, problem, processes, produce, product, programs, project, promotions, provide, public, purchase, rankings, relations, relationship, release, remote, reporting, reputation, research, results, retention, review, rewards, schedule, search, sem, sentiment, seo, services, skills, social, solving, specialist, standards, statistical, storyteller, strategic, strategist, strategy, study, support, survey, systems, tasks, teach, teams, technical, technology, testing, thinking, time, tools, track, trainer, training, trends, ux, virtual, websites, workflows, writing",173
media publishing,"activity, adaptability, ai, analyst, analytics, aptitude, art, artificial, artist, attention, audiences, audio, blogs, brands, channels, clarity, communication, content, create, creativity, creator, critical, curiosity, cycling, deliver, delivery, detail, develop, digital, direction, documentation, driven, driving, edit, editor, enforce, engaging, grow, illustration, intelligence, journalist, law, licensing, logical, management, manuals, marketing, materials, media, monetization, multimedia, negotiation, news, newspaper, online, organization, oversee, physical, plan, planner, platforms, podcast, problem, produce, production, project, promote, publication, releases, reliability, remote, report, research, revenue, review, rights, route, schedule, skills, social, solving, stories, storytelling, strategist, strategize, strategy, streams, subscribers, teams, technical, technology, thinking, time, tools, track, usage, user, using, various, video, visual, websites, writer, writing, written",105
mining resources,"analytical, applications, attention, awareness, detail, earth, extract, geologist, materials, miner, mines, physical, problem, processes, research, resources, safety, skills, solving, stamina, study, teamwork, thinking, underground, various",25
